job_id,company,job-title,level,long_url
3844348914,HoYoverse,[Expression of Interest] Data Scientist - Fresh Grad,Entry level,
3832387609,,,,https://sg.linkedin.com/jobs/view/software-engineer-fresh-graduate-at-virtusa-3832387609?position=1&pageNum=27&refId=sW2G03WtyKBuGxR0CXgPnQ%3D%3D&trackingId=Z6JDoW%2BCEh3Il%2BCTyzFs4w%3D%3D&trk=public_jobs_jserp-result_search-card
3849916329,Coty,Business Intelligence Intern,Internship,https://sg.linkedin.com/jobs/view/data-engineer-at-greenphyto-pte-ltd-3874669751?position=6&pageNum=27&refId=sW2G03WtyKBuGxR0CXgPnQ%3D%3D&trackingId=L2IVANfGpird8IZyKavm3A%3D%3D&trk=public_jobs_jserp-result_search-card
3863588642,,,,https://sg.linkedin.com/jobs/view/data-engineer-intern-central-data-analytics-at-msd-3872189767?position=7&pageNum=27&refId=sW2G03WtyKBuGxR0CXgPnQ%3D%3D&trackingId=cPb924vStnMxkW4lS4eYNg%3D%3D&trk=public_jobs_jserp-result_search-card
3874669751,Greenphyto Pte Ltd,Data Engineer,Entry level,https://sg.linkedin.com/jobs/view/junior-data-engineer-at-dexian-asia-pacific-3863445383?position=8&pageNum=27&refId=sW2G03WtyKBuGxR0CXgPnQ%3D%3D&trackingId=G0CgMzGmbEy%2BnpDndGcK6g%3D%3D&trk=public_jobs_jserp-result_search-card
3872189767,,,,https://sg.linkedin.com/jobs/view/data-analyst-key-accounts-bangkok-based-relocation-provided-at-agoda-3828016482?position=9&pageNum=27&refId=sW2G03WtyKBuGxR0CXgPnQ%3D%3D&trackingId=tMlHaNrbIfIyAhLiQ5xBTg%3D%3D&trk=public_jobs_jserp-result_search-card
3863445383,Dexian Asia Pacific,Junior Data Engineer,Mid-Senior level,https://sg.linkedin.com/jobs/view/data-finance-engineer-at-unison-consulting-3858650093?position=10&pageNum=27&refId=sW2G03WtyKBuGxR0CXgPnQ%3D%3D&trackingId=eKsg4tB3l38sMCmxJIFo7Q%3D%3D&trk=public_jobs_jserp-result_search-card
3828016482,,,,
3858650093,Unison Consulting,Data & Finance Engineer,Entry level,
3851704528,Beyondsoft Singapore,Junior Data Engineer,Associate,https://sg.linkedin.com/jobs/view/statistical-specialist-data-collection-mrsd-at-ministry-of-manpower-3849464489?position=3&pageNum=30&refId=wavWKm2IzS1FDxReYGnlaQ%3D%3D&trackingId=3ZhZldIKZlcm%2B1auEEnisA%3D%3D&trk=public_jobs_jserp-result_search-card
